"Subject","Item","Condition","Answer","Order"
"Subject22","Item15","Null ","Subject","B"
"Subject22","Item16","Overt","Subject","B"
"Subject22","Item17","Null ","Subject","B"
"Subject22","Item18","Overt","Subject+Object","B"
"Subject22","Item19","Null ","Object","B"
"Subject22","Item20","Overt","Subject","B"
"Subject22","Item21","Null ","Object","B"
"Subject22","Item22","Overt","Object","B"
"Subject22","Item23","Null ","Subject","B"
"Subject22","Item24","Overt","Subject","B"
"Subject22","Item25","Null ","Object","B"
"Subject22","Item26","Overt","Subject","B"
"Subject22","Item27","Null ","Object","B"
"Subject22","Item28","Overt","Subject","B"
"Subject22","Item29","Null ","Subject+Object","B"
"Subject22","Item30","Overt","Object","B"
"Subject22","Item31","Null ","Object","B"
"Subject22","Item32","Overt","Subject","B"
"Subject23","Item1","Overt","Subject","A"
"Subject23","Item2","Null","Subject","A"
"Subject23","Item3","Overt","Subject","A"
"Subject23","Item4","Null","Subject","A"
"Subject23","Item5","Overt","Object","A"
"Subject23","Item6","Null","Subject","A"
"Subject23","Item7","Overt","Subject","A"
"Subject23","Item8","Null","Object","A"
"Subject23","Item9","Overt","Object","A"
"Subject23","Item10","Null","Object","A"
"Subject23","Item11","Overt","Subject","A"
"Subject23","Item12","Null","Subject","A"
"Subject23","Item13","Overt","Object","A"
"Subject23","Item14","Null","Subject","A"
"Subject23","Item15","Overt","Subject","A"
"Subject23","Item16","Null","Subject","A"
"Subject23","Item17","Overt","Subject","A"
"Subject23","Item18","Null","Subject","A"
"Subject23","Item19","Overt","Subject","A"
"Subject23","Item20","Null","Subject","A"
"Subject23","Item21","Overt","Object","A"
"Subject23","Item22","Null","Object","A"
"Subject23","Item23","Overt","Subject","A"
"Subject23","Item24","Null","Object","A"
"Subject23","Item25","Overt","Object","A"
"Subject23","Item26","Null","Subject","A"
"Subject23","Item27","Overt","Object","A"
"Subject23","Item28","Null","Subject","A"
"Subject23","Item29","Overt","Object","A"
"Subject23","Item30","Null","Object","A"
"Subject23","Item31","Overt","Subject","A"
"Subject23","Item32","Null","Subject","A"
"Subject24","Item1","Null ","Object","B"
"Subject24","Item2","Overt","Object","B"
"Subject24","Item3","Null ","Subject","B"
"Subject24","Item4","Overt","Object","B"
"Subject24","Item5","Null ","Subject","B"
"Subject24","Item6","Overt","Object","B"
"Subject24","Item7","Null ","Object","B"
"Subject24","Item8","Overt","Object","B"
"Subject24","Item9","Null ","Object","B"
"Subject24","Item10","Overt","Object","B"
"Subject24","Item11","Null ","Object","B"
"Subject24","Item12","Overt","Subject","B"
"Subject24","Item13","Null ","Object","B"
"Subject24","Item14","Overt","Object","B"
"Subject24","Item15","Null ","Subject","B"
"Subject24","Item16","Overt","Subject","B"
"Subject24","Item17","Null ","Subject","B"
"Subject24","Item18","Overt","Subject","B"
"Subject24","Item19","Null ","Object","B"
"Subject24","Item20","Overt","Object","B"
"Subject24","Item21","Null ","Object","B"
"Subject24","Item22","Overt","Object","B"
"Subject24","Item23","Null ","Subject","B"
"Subject24","Item24","Overt","Object","B"
"Subject24","Item25","Null ","Object","B"
"Subject24","Item26","Overt","Object","B"
"Subject24","Item27","Null ","Object","B"
"Subject24","Item28","Overt","Object","B"
"Subject24","Item29","Null ","Subject","B"
"Subject24","Item30","Overt","Object","B"
"Subject24","Item31","Null ","Subject","B"
"Subject24","Item32","Overt","Object","B"
