"Subject","Item","Condition","Answer","Order"
"Subject5","Item9","Overt","Object","A"
"Subject5","Item10","Null","Subject","A"
"Subject5","Item11","Overt","Object","A"
"Subject5","Item12","Null","Subject+Object","A"
"Subject5","Item13","Overt","Object","A"
"Subject5","Item14","Null","Subject","A"
"Subject5","Item15","Overt","Subject","A"
"Subject5","Item16","Null","Subject","A"
"Subject5","Item17","Overt","Subject","A"
"Subject5","Item18","Null","Subject","A"
"Subject5","Item19","Overt","Subject","A"
"Subject5","Item20","Null","Object","A"
"Subject5","Item21","Overt","Object","A"
"Subject5","Item22","Null","Object","A"
"Subject5","Item23","Overt","Subject","A"
"Subject5","Item24","Null","Object","A"
"Subject5","Item25","Overt","Subject","A"
"Subject5","Item26","Null","Subject","A"
"Subject5","Item27","Overt","Object","A"
"Subject5","Item28","Null","Subject","A"
"Subject5","Item29","Overt","Object","A"
"Subject5","Item30","Null","Subject","A"
"Subject5","Item31","Overt","Object","A"
"Subject5","Item32","Null","Subject","A"
"Subject6","Item1","Null ","Object","B"
"Subject6","Item2","Overt","Object","B"
"Subject6","Item3","Null ","Object","B"
"Subject6","Item4","Overt","Object","B"
"Subject6","Item5","Null ","Subject","B"
"Subject6","Item6","Overt","Object","B"
"Subject6","Item7","Null ","Object","B"
"Subject6","Item8","Overt","Object","B"
"Subject6","Item9","Null ","Subject","B"
"Subject6","Item10","Overt","Object","B"
"Subject6","Item11","Null ","Object","B"
"Subject6","Item12","Overt","Object","B"
"Subject6","Item13","Null ","Object","B"
"Subject6","Item14","Overt","Object","B"
"Subject6","Item15","Null ","Object","B"
"Subject6","Item16","Overt","Object","B"
"Subject6","Item17","Null ","Subject+Object","B"
"Subject6","Item18","Overt","Subject+Object","B"
"Subject6","Item19","Null ","Object","B"
"Subject6","Item20","Overt","Object","B"
"Subject6","Item21","Null ","Subject+Object","B"
"Subject6","Item22","Overt","Object","B"
"Subject6","Item23","Null ","Subject","B"
"Subject6","Item24","Overt","Object","B"
"Subject6","Item25","Null ","Object","B"
"Subject6","Item26","Overt","Object","B"
"Subject6","Item27","Null ","Object","B"
"Subject6","Item28","Overt","Object","B"
"Subject6","Item29","Null ","Object","B"
"Subject6","Item30","Overt","Object","B"
"Subject6","Item31","Null ","Object","B"
"Subject6","Item32","Overt","Object","B"
"Subject7","Item1","Overt","Subject","A"
"Subject7","Item2","Null","Subject","A"
"Subject7","Item3","Overt","Object","A"
"Subject7","Item4","Null","Subject","A"
"Subject7","Item5","Overt","Subject","A"
"Subject7","Item6","Null","Object","A"
"Subject7","Item7","Overt","Subject","A"
"Subject7","Item8","Null","Object","A"
"Subject7","Item9","Overt","Object","A"
"Subject7","Item10","Null","Object","A"
"Subject7","Item11","Overt","Object","A"
"Subject7","Item12","Null","Subject","A"
"Subject7","Item13","Overt","Object","A"
"Subject7","Item14","Null","Subject","A"
"Subject7","Item15","Overt","Object","A"
"Subject7","Item16","Null","Subject","A"
"Subject7","Item17","Overt","Subject","A"
"Subject7","Item18","Null","Subject","A"
"Subject7","Item19","Overt","Object","A"
"Subject7","Item20","Null","Object","A"
"Subject7","Item21","Overt","Subject","A"
"Subject7","Item22","Null","Object","A"
"Subject7","Item23","Overt","Object","A"
"Subject7","Item24","Null","Subject","A"
"Subject7","Item25","Overt","Object","A"
"Subject7","Item26","Null","Object","A"
"Subject7","Item27","Overt","Object","A"
"Subject7","Item28","Null","Subject","A"
"Subject7","Item29","Overt","Subject","A"
"Subject7","Item30","Null","Object","A"
"Subject7","Item31","Overt","Object","A"
"Subject7","Item32","Null","Subject","A"
"Subject8","Item1","Null ","Subject","B"
